,CVEGEO,crime
0,01001,6177
1,01002,134
2,01003,203
3,01004,78
4,01005,806
5,01006,248
6,01007,277
7,01008,64
8,01009,78
9,01010,85
10,01011,339
11,02001,2475
12,02002,6298
13,02003,742
14,02004,8485
15,02005,694
16,02006,293
17,02007,122
18,03001,206
19,03002,189
20,03003,2439
21,03008,2575
22,03009,79
23,04001,31
24,04002,264
25,04003,202
26,04004,173
27,04005,30
28,04006,25
29,04007,0
30,04008,7
31,04009,5
32,04010,2
33,04011,11
34,04012,35
35,04013,21
36,05001,2
37,05002,1349
38,05003,110
39,05004,336
40,05005,2
41,05006,151
42,05007,77
43,05008,8
44,05009,135
45,05010,310
46,05011,76
47,05012,0
48,05013,0
49,05014,49
50,05015,0
51,05016,2
52,05017,581
53,05018,1308
54,05019,25
55,05020,342
56,05021,22
57,05022,126
58,05023,18
59,05024,251
60,05025,1698
61,05026,2
62,05027,710
63,05028,322
64,05029,2
65,05030,1563
66,05031,83
67,05032,144
68,05033,321
69,05034,0
70,05035,2775
71,05036,52
72,05037,5
73,05038,45
74,06001,133
75,06002,1632
76,06003,142
77,06004,160
78,06005,132
79,06006,28
80,06007,1971
81,06008,54
82,06009,586
83,06010,935
84,07001,8
85,07002,4
86,07003,11
87,07004,4
88,07005,1
89,07006,5
90,07007,1
91,07008,4
92,07009,21
93,07010,1
94,07011,1
95,07012,7
96,07013,8
97,07014,1
98,07015,6
99,07016,14
100,07017,11
101,07018,2
102,07019,125
103,07020,2
104,07021,5
105,07022,1
106,07023,2
107,07024,1
108,07025,1
109,07026,3
110,07027,61
111,07028,0
112,07029,2
113,07030,19
114,07031,5
115,07032,19
116,07033,1
117,07034,24
118,07035,1
119,07036,0
120,07037,12
121,07038,1
122,07039,1
123,07040,30
124,07041,4
125,07042,3
126,07043,4
127,07044,3
128,07045,3
129,07046,6
130,07047,1
131,07048,11
132,07049,1
133,07050,1
134,07051,32
135,07052,30
136,07053,2
137,07054,27
138,07055,1
139,07056,1
140,07057,37
141,07058,0
142,07059,81
143,07060,0
144,07061,21
145,07062,2
146,07063,0
147,07064,1
148,07065,57
149,07066,4
150,07067,2
151,07068,15
152,07069,10
153,07070,1
154,07071,7
155,07072,4
156,07073,1
157,07074,58
158,07075,1
159,07076,1
160,07077,1
161,07078,246
162,07079,7
163,07080,3
164,07081,13
165,07082,1
166,07083,5
167,07084,4
168,07085,3
169,07086,3
170,07087,23
171,07088,0
172,07089,272
173,07090,1
174,07091,3
175,07092,5
176,07093,0
177,07094,10
178,07096,3
179,07097,47
180,07098,2
181,07099,17
182,07100,2
183,07101,461
184,07102,40
185,07103,8
186,07104,4
187,07105,3
188,07106,2
189,07107,9
190,07108,53
191,07109,5
192,07110,0
193,07111,5
194,07112,1
195,07113,1
196,07114,8
197,07115,0
198,07116,1
199,07117,0
200,07118,0
201,07119,0
202,07120,0
203,07121,0
204,07122,8
205,07123,2
206,07124,4
207,07125,1
208,08001,49
209,08002,84
210,08003,12
211,08004,27
212,08005,82
213,08006,16
214,08007,29
215,08008,3
216,08009,89
217,08010,33
218,08011,293
219,08012,8
220,08013,33
221,08014,0
222,08015,7
223,08016,5
224,08017,1339
225,08018,7
226,08019,4185
227,08020,9
228,08021,1046
229,08022,5
230,08023,32
231,08024,32
232,08025,6
233,08026,7
234,08027,97
235,08028,4
236,08029,41
237,08030,3
238,08031,122
239,08032,881
240,08033,4
241,08034,6
242,08035,35
243,08036,278
244,08037,6929
245,08038,15
246,08039,6
247,08040,85
248,08041,2
249,08042,1
250,08043,5
251,08044,13
252,08045,238
253,08046,4
254,08047,6
255,08048,28
