CVEGEO,economic_output
01001,279752.625
01002,106.629
01003,1456.031
01004,456.057
01005,49562.686
01006,440.578
01007,4399.484
01008,46.698
01009,6960.706
01010,1253.369
01011,44202.135
02001,22333.76
02002,171967.327
02003,24334.459
02004,302569.193
02005,6958.619
02006,669.53
02007,72.8
03001,1707.955
03002,819.012
03003,5116.472
03008,2664.448
03009,95.325
04001,359.333
04002,3367.802
04003,4075.182
04004,2296.561
04005,283.014
04006,532.564
04007,17.245
04008,174.124
04009,621.22
04010,80.191
04011,46.236
04012,156.95
04013,259.299
05001,0.0
05002,27105.198
05003,598.568
05004,35866.006
05005,0.0
05006,10499.95
05007,780.795
05008,0.0
05009,3245.823
05010,40197.365
05011,77.065
05012,0.0
05014,29.744
05015,0.0
05016,10.092
05017,8316.747
05018,22456.179
05019,177.134
05020,786.097
05021,8.68
05022,95859.857
05023,3434.701
05024,2185.167
05025,38673.913
05027,479117.157
05028,8055.844
05029,0.0
05030,407352.925
05031,226.916
05032,435.915
05033,2204.728
05034,9.387
05035,183792.083
05036,9.779
05037,5.378
05038,102.738
06001,699.868
06002,4775.563
06003,123.324
06004,78.276
06005,2176.885
06006,8.625
06007,5253.628
06008,29.447
06009,10360.849
06010,863.766
07001,69.506
07002,47.047
07003,1011.72
07004,55.994
07005,19.931
07007,72.063
07008,37.675
07009,1298.229
07012,1330.537
07013,80.226
07014,18.143
07015,98.296
07016,9.24
07017,247.769
07018,19.767
07019,728.726
07020,14.856
07021,26.579
07022,8.794
07023,28.213
07024,17.223
07025,14.678
07026,20.261
07027,3692.77
07028,15.952
07029,15.867
07030,0.0
07031,83.906
07032,54.818
07033,0.0
07034,0.0
07035,15.318
07037,107.981
07038,5.14
07039,22.48
07040,2876.313
07041,77.454
07042,24.14
07043,24.085
07044,27.152
07045,8.45
07046,43.05
07047,18.636
07048,51.211
07049,11.752
07050,5.807
07051,881.189
07052,198.483
07053,0.0
07054,63.384
07055,7.845
07056,2.331
07057,112.898
07058,20.827
07059,309.617
07060,13.213
07061,4959.034
07062,659.812
07063,7.562
07064,24.108
07065,1538.62
07066,27.624
07067,12.776
07068,55.683
07069,158.034
07071,147.392
07072,55.652
07073,47.612
07074,33795.776
07075,72.642
07076,15.261
07077,51.044
07078,5533.848
07079,209.981
07081,101.288
07082,17.814
07083,28.338
07084,14.016
07085,18.613
07086,72.04
07087,77.316
07088,8.857
07089,7155.371
07090,3.964
07091,52.497
07092,23.326
07093,24.18
07094,213.506
07096,42.951
07097,526.452
07098,20.32
07099,91.953
07100,19.524
07101,8712.956
07102,48.144
07103,61.93
07104,48.97
07105,22.003
07106,5743.14
07107,10.54
07108,3908.751
07109,96.224
07110,17.052
07111,133.749
07112,25.877
07114,369.621
07115,12.566
07116,14.945
07117,0.0
07118,2.23
07119,0.0
07121,3.517
07122,72.842
07123,20.274
07124,14.433
08001,310.647
08002,1033.229
08003,75.351
08004,451.913
08005,673.024
08006,8.069
08007,10.88
08008,0.0
08009,348.524
08010,476.511
08011,1535.811
08012,5.712
08013,28.45
08014,4.099
08015,0.0
08016,0.0
08017,27049.137
08019,171326.553
08020,1.523
08021,14324.182
08022,0.0
08023,0.0
08024,254.418
08025,171.738
08026,0.0
08027,296.636
08028,3.556
08029,33.467
08030,6.222
08031,406.867
08032,4805.684
08033,0.0
08034,4.813
08035,6.97
08036,868.66
08037,230889.474
08038,0.0
08039,8.871
08040,385.282
08042,0.0
08043,148.072
08044,220.901
08045,6868.194
08046,0.0
08047,4.859
08048,1278.582
08049,0.0
08050,2493.629
08051,36.512
08052,1934.219
08053,62.437
08054,1576.01
08055,30.943
08056,0.0
08057,0.0
08058,0.0
08059,10.584
08060,21.673
08061,0.0
08062,596.139
08063,0.0
08064,0.0
08065,2.905
08066,0.0
08067,15.831
09002,152594.599
09003,30727.638
09004,9072.288
09005,32822.074
09006,24438.822
09007,95224.636
09008,1191.593
09009,1137.993
09010,13359.866
09011,8400.585
09012,12851.695
09013,14990.228
09014,21339.281
09015,34805.815
09016,59156.421
09017,8468.884
10001,210.287
10002,0.0
10003,0.0
10004,314.668
10005,26502.776
10006,2.849
10007,83357.839
10008,528.37
10009,6.286
10010,1.171
10011,0.0
10012,2568.51
10013,894.812
10014,19.643
10015,58.194
10016,433.36
10017,16.692
10018,39.375
10019,0.0
10020,30.166
10021,21.858
10022,63.631
10023,1010.263
10024,29.826
10025,1.476
10026,16.414
10027,12.349
10028,163.965
10029,0.0
10030,0.0
10031,15.303
10032,1126.055
10033,13.542
10034,17.801
10035,93.506
10036,11515.813
10037,2.454
10038,426.234
10039,994.33
11001,1936.227
11002,3182.949
11003,12744.878
11004,4404.772
11005,126913.634
11006,0.0
11007,281899.844
11008,1047.308
11009,4617.225
11010,24.187
11011,8315.869
11012,351.416
11013,9136.054
11014,1880.033
11015,1644.227
11016,77.436
11017,140060.591
11018,1658.183
