CVEGEO,highways
01001,1
01008,1
01011,1
01009,1
01007,1
01006,1
01004,1
01005,1
01010,1
01003,1
01002,1
02007,1
02003,1
02004,1
02001,1
02006,1
02005,1
02002,1
03001,1
03008,1
03003,1
03002,1
03009,1
04008,1
04005,1
04003,1
04012,1
04001,1
04010,1
04006,1
04011,1
04004,1
04013,1
04002,1
04009,1
04007,1
05010,1
05036,1
05018,1
05029,1
05007,1
05032,1
05006,1
05003,1
05012,1
05009,1
05005,1
05004,1
05016,1
05035,1
05014,1
05008,1
05019,1
05038,1
05037,1
05001,1
05017,1
05002,1
05026,1
05021,1
05013,1
05024,1
05020,1
05023,1
05022,1
05015,1
05011,1
05034,1
05033,1
05031,1
05030,1
05028,1
05027,1
05025,1
06009,1
06005,1
06010,1
06008,1
06002,1
06007,1
06006,1
06003,1
06001,1
06004,1
07106,1
07090,1
07022,1
07073,1
07042,1
07036,1
07121,1
07119,1
07124,1
07123,1
07067,1
07091,1
07114,1
07069,1
07081,1
07080,1
07065,1
07077,1
07086,1
07010,1
07011,1
07024,1
07028,1
07122,1
07001,1
07002,1
07003,1
07004,1
07005,1
07006,1
07007,1
07029,1
07012,1
07013,1
07014,1
07015,1
07016,1
07019,1
07020,1
07021,1
07033,1
07053,1
07025,1
07026,1
07027,1
07030,1
07031,1
07055,1
07023,1
07034,1
07075,1
07076,1
07038,1
07039,1
07040,1
07041,1
07043,1
07044,1
07045,1
07046,1
07048,1
07052,1
07056,1
07054,1
07072,1
07111,1
07110,1
07051,1
07050,1
07049,1
07096,1
07097,1
07099,1
07058,1
07060,1
07070,1
07063,1
07057,1
07101,1
07102,1
07103,1
07104,1
07079,1
07120,0
07107,1
07108,1
07109,1
07085,1
07088,1
07093,1
07098,1
07100,1
07105,1
07112,1
07087,1
07113,1
07115,1
07117,1
07118,1
07047,1
07092,1
07018,1
07059,1
07061,1
07064,1
07066,1
07071,1
07078,1
07032,1
07125,1
07035,1
07062,1
07037,1
07068,1
07074,1
07082,1
07083,1
07084,1
07089,1
07008,1
07009,1
07017,1
07116,1
07094,1
08037,1
08021,1
08019,1
08001,1
08006,1
08052,1
08020,0
08041,1
08055,1
08032,1
08017,1
08043,1
08016,1
08023,1
08059,1
08015,1
08049,1
08036,1
08060,1
08007,1
08008,1
08051,1
08067,1
08062,1
08061,1
08029,1
08003,1
08014,1
08018,1
08054,1
08058,1
08002,1
08065,1
08063,1
08022,1
08066,1
08004,1
08009,1
08010,1
08011,1
08012,1
08013,1
08053,1
08057,1
08044,1
08031,1
08056,1
08045,1
08046,1
08047,0
08025,1
08048,1
08024,1
08064,1
08050,1
08026,1
08027,1
08028,1
08030,1
08033,1
08034,1
08035,1
08038,1
08039,1
08040,1
08042,1
08005,1
09005,1
09007,1
09015,0
09017,0
09013,1
09003,1
09008,1
09009,1
09010,1
09014,1
09011,1
09006,0
09002,0
09012,1
09004,1
09016,1
10009,1
10017,1
10036,1
10021,1
10034,1
10024,1
10012,1
10039,1
10018,1
10011,1
10005,1
10010,1
10030,1
10029,1
10023,1
10033,1
10016,1
10003,1
10004,1
10006,1
10025,1
10008,1
10027,1
10001,1
10035,1
10014,1
10022,1
10038,1
10037,1
10019,1
10028,1
10026,1
10015,1
10031,1
10007,1
10020,1
10032,1
10013,1
10002,1
11044,1
11017,1
11037,1
11010,1
11031,1
11015,1
11034,1
11036,1
11030,1
11026,1
11009,1
11016,1
11024,1
11029,1
11011,1
11027,1
11025,1
11003,1
11004,1
11005,1
11043,1
11022,1
11014,1
11045,1
11001,1
11033,1
11006,1
11002,1
11012,1
11013,1
11007,1
11019,1
11035,1
11018,1
11008,1
11041,1
11028,1
11040,1
11042,1
11039,1
11032,1
11023,1
11038,1
11046,1
11021,1
11020,1
12021,1
12060,1
12063,1
12082,1
12024,1
12058,1
12010,1
12011,1
12012,1
12004,1
12068,1
12043,1
12007,1
12057,1
12066,1
12056,1
12001,1
12075,1
12055,1
12006,1
12037,1
12085,1
12027,1
12015,1
12074,1
12014,1
12018,1
12072,1
12009,1
12081,1
12084,1
12071,1
12070,1
12083,1
12079,1
12076,1
12065,1
12073,1
12064,1
12019,1
12005,1
12030,1
12069,1
12036,1
12080,1
12078,1
12077,1
12023,1
12048,1
12053,1
12054,1
12047,1
12049,1
12050,1
12051,1
12045,1
12046,1
12040,1
12013,1
12062,1
12041,1
12042,1
12044,1
12038,1
12039,1
12002,1
12003,1
12034,1
12035,1
12031,1
12032,1
12033,1
12028,1
12029,1
12008,1
12025,1
12026,1
12059,1
12061,1
12052,1
12067,1
12016,1
12017,1
12020,1
12022,1
13031,1
13005,1
13075,1
13028,1
13045,1
13021,1
13001,1
13002,1
13049,1
13003,1
13030,1
13023,1
13004,1
13027,1
13022,1
13020,1
13074,1
13070,1
13018,1
13029,1
13071,1
13076,1
13046,1
13065,1
13061,1
13047,1
13078,1
13063,1
13017,1
13083,1
13072,1
13067,1
13026,1
13062,1
13044,1
13016,1
13015,1
13014,1
13068,1
13084,1
13081,1
13043,1
13066,1
13013,1
13025,1
13048,1
13038,1
13052,1
13037,1
13036,1
13053,1
13012,1
13011,1
13010,1
13009,1
13008,1
13007,1
13006,1
13054,1
13055,1
13080,1
13079,1
13035,1
13073,1
13034,1
13019,1
13077,1
13051,1
13082,1
13064,1
13024,1
13041,1
13060,1
13059,1
13032,1
13058,1
13057,1
13050,1
13056,1
13042,1
13040,1
13069,1
13039,1
13033,1
14018,1
14097,1
14114,1
14113,1
14112,1
14111,1
14110,1
14109,1
14124,1
14065,1
14116,1
14117,1
14118,1
14119,1
14014,1
14015,1
14017,1
14043,1
14106,1
14107,1
14108,1
14115,1
14075,1
14077,1
14078,1
14074,1
14076,1
14069,1
14123,1
14122,1
14121,1
14120,1
14002,1
14003,1
14005,1
14055,1
14086,1
14098,1
14025,1
14027,1
14028,1
14101,1
14022,1
14039,0
14044,1
14051,1
14070,1
14125,1
14071,1
14068,1
14067,1
14066,1
14064,1
14063,1
14062,1
14061,1
14060,1
14059,1
14058,1
14057,1
14056,1
14054,1
14053,1
14052,1
14050,1
14031,1
14049,1
14048,1
14047,1
14046,1
14045,1
14042,1
14041,1
14040,1
14038,1
14037,1
14036,1
14035,1
14034,1
14033,1
14004,1
14019,1
14001,1
14006,1
14007,1
14008,1
14009,1
14072,1
14080,1
14081,1
14082,1
14083,1
14084,1
14085,1
14087,1
14088,1
14089,1
14094,1
14095,1
14096,1
14032,1
14030,1
14029,1
14026,1
14024,1
14023,1
14021,1
14020,1
14016,1
14011,1
14013,1
14010,1
14012,1
14073,1
14079,1
14093,1
14099,1
14100,1
14102,1
14103,1
14104,1
14105,1
14090,1
14091,1
14092,1
15116,1
15072,1
15003,1
15007,1
15094,1
15032,1
15081,1
15071,1
15070,1
15026,1
15061,1
15057,1
15120,1
15110,1
15030,1
15044,1
15093,1
15108,1
15111,1
15016,1
15112,1
15113,1
15123,1
15074,1
15125,1
15053,1
15055,1
15073,1
15015,1
15014,1
15056,1
15054,1
15076,1
15060,1
15083,1
15024,1
15059,1
15009,1
15067,1
15031,1
15092,1
15066,1
15098,1
15025,1
15077,1
15078,1
15096,1
15104,1
15107,1
15100,1
15082,1
15058,1
15064,1
15109,1
15023,1
15040,1
15039,1
15005,1
15086,1
15042,1
15049,1
15052,1
15103,1
15050,1
15101,1
15090,1
15062,1
15105,1
15068,1
15080,1
15106,1
15118,1
15036,1
15013,1
15124,1
15117,1
15046,1
15115,1
15045,1
15006,1
15012,1
15034,1
15041,1
15017,1
15102,1
15089,1
15029,1
15087,1
15069,0
15084,1
15119,1
15008,1
15011,1
15121,1
15075,1
15018,1
15019,1
15020,1
15022,1
15047,1
15001,1
15048,1
15028,1
15063,1
15051,1
15085,1
15088,1
15027,1
15122,1
15099,1
15004,1
15043,1
15035,1
15065,1
15079,1
15010,1
15037,1
15038,1
15091,1
15033,1
15097,1
15114,1
15095,1
15021,1
15002,1
16045,1
16093,1
16092,1
16088,1
16085,1
16084,1
16074,1
16055,1
16061,1
16073,1
16104,1
16089,1
