CVEGEO,n_industy
01001,4316
01008,63
01011,251
01009,58
01007,232
01006,168
01004,47
01005,865
01010,58
01003,259
01002,111
02007,53
02003,475
02004,4199
02001,1129
02006,210
02005,476
02002,2581
03001,360
03008,1329
03003,1260
03002,238
03009,92
04008,74
04005,121
04003,927
04012,56
04001,825
04010,59
04006,195
04011,73
04004,278
04013,415
04002,1029
04009,268
04007,36
05010,441
05036,17
05018,1241
05029,5
05007,63
05032,183
05006,145
05003,73
05012,2
05009,160
05005,4
05004,116
05016,12
05035,2315
05014,15
05008,2
05019,28
05038,47
05037,15
05001,2
05017,371
05002,376
05026,0
05021,24
05013,0
05024,150
05020,364
05023,33
05022,111
05015,3
05011,37
05034,17
05033,262
05031,111
05030,3008
05028,266
05027,527
05025,468
06009,595
06005,152
06010,611
06008,34
06002,897
06007,566
06006,18
06003,147
06001,174
06004,82
07106,745
07090,23
07022,16
07073,60
07042,34
07036,24
07121,12
07119,2
07124,39
07123,54
07067,35
07091,105
07114,87
07069,216
07081,258
07080,56
07065,447
07077,61
07086,197
07010,8
07011,22
07024,33
07028,35
07122,154
07001,119
07002,133
07003,108
07004,156
07005,26
07006,61
07007,1147
07029,34
07012,1095
07013,116
07014,63
07015,235
07016,24
07019,1174
07020,208
07021,79
07033,2
07053,7
07025,39
07026,112
07027,459
07030,124
07031,144
07055,24
07023,110
07034,309
07075,227
07076,52
07038,12
07039,42
07040,303
07041,161
07043,61
07044,74
07045,17
07046,132
07048,83
07052,277
07056,8
07054,166
07072,135
07111,720
07110,44
07051,222
07050,21
07049,98
07096,218
07097,525
07099,237
07058,65
07060,26
07070,25
07063,17
07057,260
07101,3540
07102,104
07103,53
07104,151
07079,103
07120,1
07107,415
07108,846
07109,196
07085,70
07088,19
07093,42
07098,43
07100,47
07105,54
07112,31
07087,127
07113,37
07115,24
07117,30
07118,36
07047,73
07092,70
07018,87
07059,637
07061,561
07064,89
07066,111
07071,93
07078,1870
07032,130
07125,0
07035,53
07062,56
07037,122
07068,126
07074,165
07082,25
07083,63
07084,27
07089,1384
07008,222
07009,283
07017,605
07116,28
07094,599
08037,2770
08021,614
08019,3099
08001,44
08006,13
08052,91
08020,4
08041,0
08055,35
08032,583
08017,714
08043,10
08016,4
08023,4
08059,19
08015,5
08049,6
08036,144
08060,30
08007,20
08008,4
08051,17
08067,23
08062,76
08061,4
08029,45
08003,34
08014,4
08018,0
08054,6
08058,1
08002,79
08065,14
08063,7
08022,3
08066,4
08004,24
08009,89
08010,59
08011,155
08012,7
08013,64
08053,16
08057,7
08044,12
08031,92
08056,2
08045,145
08046,1
08047,6
08025,22
08048,105
08024,15
08064,3
08050,219
08026,3
08027,102
08028,13
08030,13
08033,2
08034,9
08035,7
08038,5
08039,17
08040,78
08042,4
08005,81
09005,3640
09007,7805
09015,4003
09017,1601
09013,1394
09003,1513
09008,541
09009,579
09010,1590
09014,1083
09011,1687
09006,1551
09002,1583
09012,1968
09004,513
09016,1265
10009,9
10017,34
10036,58
10021,34
10034,26
10024,58
