CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime
1001,0,279752.625,4316,1000.373808,639.5138521,332.0189367,1,45.98414795,5.717994718,1,1880.844955,40.68944931,600,6177
1008,8.399309,46.698,63,1040.528137,610.4549776,327.8327312,1,21.45487886,40.17946399,0,1746.159971,15.15791893,700,64
1011,0,44202.135,251,1003.729148,611.6143571,348.3910989,1,23.75526247,20.01309906,1,1903.840029,61.58621979,500,339
1009,0,6960.706,58,1008.841846,587.9575029,362.053249,1,14.16084162,42.60056703,0,1887.050028,61.19379044,500,78
1007,0,4399.484,232,1026.4987,590.5849199,350.3688078,1,4.583098076,44.81011408,1,1888.87507,22.74875259,500,277
1006,0,440.578,168,1015.042856,606.9280656,345.1246756,1,13.80249149,26.63086078,1,1900.189946,45.16228867,500,248
1004,0,456.057,47,1025.640836,578.5138521,359.5104219,1,15.07765885,54.83871678,1,1875.734978,44.79206848,0,78
1005,0,49562.686,865,1022.172798,632.1412691,322.9023385,1,34.51237983,17.89590671,1,1860.405045,31.02900505,600,806
1010,0,1253.369,58,979.3443712,616.7442995,361.5906567,1,45.1721373,27.59391826,0,1882.669997,56.83396149,500,85
1003,0,1456.031,259,1046.930158,645.9108217,298.1513916,1,52.35612034,42.01320712,0,1777.184985,20.25899315,600,203
1002,7.97713,106.629,111,988.8712832,593.7442995,369.9457736,1,31.20109287,38.88248666,1,1891.430058,53.58961487,500,134
2007,0.889374,72.8,53,2792.41789,230.7695526,210.1149241,1,262.6364281,228.2726094,0,1589.210033,9.958270073,0,122
2003,1.037084,24334.459,475,2835.827053,37.45584412,71.0820678,1,73.51599788,443.9786382,1,1744.334929,20.07292175,0,742
2004,0,302569.193,4199,2889.069694,19.14213562,64.83986506,1,20.97160459,484.939507,1,1626.074972,26.88739204,0,8485
2001,0,22333.76,1129,2794.003676,139.3969696,65.48213937,1,134.6610928,369.0517816,0,1646.880031,2.870661736,0,2475
2006,0,669.53,210,2945.631093,387.2964646,340.6541474,1,271.6405239,185.6831117,0,1497.59506,2.409881115,0,293
2005,0.471866,6958.619,476,2888.028063,33.65685425,50.24150615,1,21.16436844,478.4646563,0,1699.075077,45.51646423,0,694
2002,1.520579,171967.327,2581,2732.086938,52.41421356,126.9392468,1,165.9410921,355.9602447,1,1686.299958,39.24798965,0,6298
3001,2.13557,1707.955,360,3488.142853,929.8082246,204.761101,1,206.3989437,281.2985242,0,1787.039967,20.47556114,0,206
3008,0,2664.448,1329,3829.086071,1270.751442,46.00200784,1,18.72635274,45.16027651,0,1708.199937,4.025697708,400,2575
3003,0.00842,5116.472,1260,3690.292132,1131.957503,32.36998291,1,148.9573384,153.227688,0,1706.009922,4.813137531,500,2439
3002,0,819.012,238,3231.951945,673.6173157,241.0611324,1,94.37350973,242.7706218,0,1639.215064,10.07291222,200,189
3009,0,95.325,92,3457.882969,899.54834,219.3636766,1,173.6030823,225.5789456,0,1693.599951,24.40146637,200,79
4008,2059.634923,174.124,74,674.9869401,628.5584412,158.3620932,1,32.96787604,119.5215473,1,1634.47006,68.37025452,1000,7
4005,2059.634923,283.014,121,695.7148622,649.2863633,138.6870029,1,51.10173538,99.68501539,1,1632.280045,70.66766357,0,30
4003,1762.97343,4075.182,927,468.9970414,409.6812409,182.4052768,1,79.57919603,37.08742748,0,1595.780079,74.86575317,1500,202
4012,2059.634923,156.95,56,613.8326112,567.4041123,213.5995631,1,28.37611672,161.6136803,0,1673.16004,69.49634552,1100,35
4001,2059.634923,359.333,825,719.6732316,673.2447327,116.1994926,1,69.57408009,81.99231975,1,1638.849916,75.95532227,0,31
4010,306.460761,80.191,59,661.8254685,525.1858582,320.2930397,1,180.5728678,228.1258353,1,1474.235013,23.80846405,1300,2
4006,306.460761,532.564,195,707.1168825,608.5533906,201.7966056,1,101.7886005,160.3781845,0,1529.714994,42.07170486,1000,25
4011,385.530232,46.236,73,536.4284989,404.4751801,266.0871577,1,92.57764792,130.4251759,1,1552.344921,40.48239517,1300,11
4004,2059.634923,2296.561,278,598.2346315,523.6883835,256.5997312,1,78.51124822,147.7020883,1,1589.210033,34.42736816,1300,173
4013,2059.634923,259.299,415,716.3422792,669.9137803,121.1896588,1,72.55924745,81.10958249,1,1630.455003,71.04069519,0,21
4002,2059.634923,3367.802,1029,640.8448045,588.5584412,196.2677158,1,34.3745124,156.4122351,1,1608.555024,59.53469086,1100,264
4009,2059.634923,621.22,268,579.5533906,464.5878785,288.9794559,1,139.1395454,141.1724308,1,1561.104982,33.71450424,1300,5
