CVEGEO,pv_mean_annual_kwh
01001,1880.844955444336
01008,1746.1599707603455
01011,1903.8400292396545
01009,1887.05002784729
01007,1888.875069618225
01006,1900.1899456977844
01004,1875.734977722168
01005,1860.405044555664
01010,1882.669997215271
01003,1777.1849846839905
01002,1891.430058479309
02007,1589.210033416748
02003,1744.3349289894104
02004,1626.07497215271
02001,1646.880030632019
02006,1497.5950598716736
02005,1699.0750765800476
02002,1686.299958229065
03001,1787.039966583252
03008,1708.1999373435974
03003,1706.009922027588
03002,1639.215064048767
03009,1693.5999512672424
04008,1634.4700598716736
04005,1632.280044555664
04003,1595.7800793647766
04012,1673.1600403785706
04001,1638.8499164581299
04010,1474.2350125312805
04006,1529.714994430542
04011,1552.3449206352234
04004,1589.210033416748
04013,1630.455002784729
04002,1608.5550236701965
04009,1561.1049818992615
04007,1595.4149317741394
05010,1700.5349707603455
05036,1646.5150570869446
05018,1528.2549262046814
05029,1633.3749651908875
05007,1553.804988861084
05032,1637.0250487327576
05006,1635.2000069618225
05003,1617.680058479309
05012,1562.9300236701965
05009,1669.874930381775
05005,1511.830072402954
05004,1441.3849568367004
05016,1660.750069618225
05035,1619.8700737953186
05014,1567.3100543022156
05008,1543.585033416748
05019,1629.3600821495056
05038,1583.7350821495056
05037,1594.320011138916
05001,1574.610047340393
05017,1849.4549679756165
05002,1589.5750069618225
05026,1497.5950598716736
05021,1617.3150849342346
05013,1577.165036201477
05024,1666.589994430542
05020,1444.6699798107147
05023,1509.6400570869446
05022,1568.0400013923645
05015,1606.0000348091125
05011,1589.5750069618225
05034,1668.7800097465515
05033,1706.375069618225
05031,1624.9800515174866
05030,1610.3800654411316
05028,1632.280044555664
05027,1542.1249651908875
05025,1569.500069618225
06009,1493.580002784729
06005,1711.485047340393
06010,1680.460033416748
06008,1549.424958229065
06002,1662.209963798523
06007,1608.919997215271
06006,1628.9949345588684
06003,1653.0849289894104
06001,1675.7150292396545
06004,1638.4849429130554
07106,1542.8550863265991
07090,1301.9549679756165
07022,1324.5849812030792
07073,1433.7199902534485
07042,1288.4499895572662
07036,1318.744969367981
07121,1357.0699763298035
07119,1489.929919242859
07124,1353.7850403785706
07123,1707.4699902534485
07067,1329.3299853801727
07091,1395.7599568367004
07114,1481.535005569458
07069,1338.0899596214294
07081,1400.1399874687195
07080,1281.5149700641632
07065,1462.554988861084
07077,1435.5450320243835
07086,1528.985047340393
07010,1432.2600090503693
07011,1319.8399770259857
07024,1504.895052909851
07028,1672.429919242859
07122,1637.390022277832
07001,1426.419997215271
07002,1538.8400292396545
07003,1585.559949874878
07004,1411.0899770259857
07005,1285.5300271511078
07006,1422.039966583252
07007,1543.2200598716736
07029,1473.5050654411316
07012,1370.2099812030792
07013,1485.1849150657654
07014,1320.2050375938416
07015,1175.3000104427338
07016,1615.855016708374
07019,1620.964994430542
07020,1369.1149735450745
07021,1301.589994430542
07033,1205.230016708374
07053,1428.974986076355
07025,1197.9300236701965
07026,1397.94997215271
07027,1172.7450215816498
07030,1453.4300410747528
07031,1389.9200320243835
07055,1678.2700181007385
07023,1426.7849707603455
07034,1557.089924812317
07075,1531.540036201477
07076,1393.9350020885468
07038,1574.610047340393
07039,1355.2450215816498
07040,1532.269983291626
07041,1317.2849881649017
07043,1285.8950006961823
07044,1491.025013923645
07045,1318.744969367981
07046,1439.5600020885468
07048,1473.870038986206
07052,1357.4350368976593
07056,1486.2800097465515
07054,1722.7999234199524
07072,1276.4049923419952
07111,1416.929988861084
07110,1502.7050375938416
07051,1395.394983291626
07050,1624.9800515174866
07049,1360.7199728488922
07096,1341.7400431632996
07097,1401.2349951267242
07099,1249.7600090503693
07058,1636.294927597046
07060,1214.3549644947052
07070,1488.8349986076355
07063,1199.0250313282013
07057,1221.6549575328827
07101,1357.8000104427338
07102,1606.7299818992615
07103,1499.0549540519714
07104,1652.3549818992615
07079,1320.9349846839905
07120,1348.6749756336212
07107,1278.9599812030792
07108,1435.1799714565277
07109,1365.1000034809113
07085,1524.2400431632996
07088,1360.3549993038177
07093,1481.535005569458
07098,1550.8850264549255
07100,1412.9150187969208
07105,1144.6399700641632
07112,1569.8650431632996
07087,1699.0750765800476
07113,1537.0149874687195
07115,1403.4250104427338
07117,1374.9549853801727
07118,1484.089994430542
07047,1494.309949874878
07092,1296.480016708374
07018,1460.3649735450745
07059,1378.9700424671173
07061,1305.970025062561
07064,1496.4999651908875
07066,1541.030044555664
07071,1580.0849986076355
07078,1508.909935951233
07032,1403.7899839878082
07125,1345.0249791145325
07035,1684.1099429130554
07062,1306.3349986076355
07037,1580.8149456977844
07068,1351.9599986076355
07074,1485.5500626564026
07082,1574.9750208854675
07083,1638.4849429130554
07084,1233.3349812030792
07089,1099.7450041770935
07008,1373.130030632019
07009,1505.625
07017,1388.0949902534485
07116,1482.264952659607
07094,1473.1399178504944
08037,1884.1300654411316
08021,1900.1899456977844
08019,1753.0949902534485
08001,1771.710033416748
08006,1835.219955444336
08052,1685.9349846839905
08020,1475.329933166504
08041,1533.7300515174866
08055,1869.1649317741394
08032,1853.8349986076355
08017,1827.1900153160095
08043,1883.0349707603455
08016,1837.4099707603455
08023,1782.2949624061584
08059,1780.8350682258606
08015,1776.4550375938416
08049,1825.3649735450745
08036,1797.259922027588
08060,1782.659935951233
08007,1629.3600821495056
08008,1385.904974937439
08051,1481.535005569458
08067,1857.85005569458
08062,1838.870038986206
08061,1852.0099568367004
08029,1385.904974937439
08003,1847.6299262046814
08014,1875.734977722168
08018,1879.385061264038
08054,1849.089994430542
08058,1900.554919242859
08002,1751.634922027588
08065,1485.1849150657654
08063,1736.304988861084
08022,1895.444941520691
08066,1508.909935951233
08004,1758.569941520691
08009,1678.2700181007385
08010,1760.394983291626
08011,1796.8949484825134
08012,1834.1250348091125
08013,1771.3450598716736
08053,1776.4550375938416
08057,1891.430058479309
08044,1849.089994430542
08031,1798.7199902534485
08056,1830.4749512672424
08045,1860.0400710105896
08046,1418.755030632019
08047,1598.700041770935
08025,1863.3250069618225
08048,1774.6299958229065
08024,1893.985047340393
08064,1863.3250069618225
08050,1873.909935951233
08026,1926.469955444336
08027,1541.3950181007385
08028,1800.910005569458
08030,1468.3949136734009
08033,1823.9050793647766
08034,1760.7599568367004
08035,1742.8750348091125
08038,1803.464994430542
08039,1851.2800097465515
08040,1634.835033416748
08042,1571.6900849342346
08005,1802.3700737953186
09005,1786.6749930381775
09007,1796.8949484825134
09015,1801.639952659607
09017,1814.0499234199524
09013,1734.1149735450745
09003,1774.265022277832
09008,1665.4950737953186
09009,1722.434949874878
09010,1678.9999651908875
09014,1795.80002784729
09011,1798.355016708374
09006,1806.749930381775
09002,1809.304919242859
09012,1692.1400570869446
09004,1683.744969367981
09016,1798.355016708374
10009,1686.6649317741394
10017,1706.7400431632996
10036,1789.2299818992615
10021,1788.865008354187
10034,1368.3850264549255
10024,1806.749930381775
10012,1672.795066833496
10039,1760.0300097465515
10018,1736.6699624061584
10011,1831.205072402954
10005,1476.42502784729
10010,1830.109977722168
10030,1795.80002784729
10029,1868.070011138916
10023,1381.5250313282013
10033,1697.9799818992615
10016,1827.1900153160095
10003,1768.7900710105896
10004,1741.7799401283264
10006,1772.0750069618225
10025,1816.9700598716736
10008,1826.0949206352234
10027,1862.2300863265991
10001,1777.9149317741394
10035,1498.689980506897
10014,1520.954933166504
10022,1845.0749373435974
10038,1856.754961013794
10037,1373.4950041770935
10019,1411.0899770259857
10028,1810.0350403785706
10026,1237.7150118350983
10015,1738.4950041770935
10031,1846.535005569458
10007,1826.0949206352234
10020,1806.3849568367004
10032,1362.1800410747528
10013,1609.2849707603455
10002,1557.455072402954
11044,1889.2400431632996
11017,1853.470025062561
11037,1829.0150570869446
11010,1788.865008354187
11031,1886.320080757141
11015,1742.1449136734009
11034,1721.705002784729
11036,1814.0499234199524
11030,1701.6300654411316
11026,1859.6749234199524
11009,1792.8800654411316
11016,1866.6099429130554
11024,1884.495038986206
11029,1771.710033416748
11011,1811.4949345588684
11027,1852.740077972412
11025,1815.1450181007385
11003,1742.8750348091125
11004,1831.205072402954
11005,1864.785075187683
11043,1548.3300375938416
11022,1765.504961013794
11014,1762.220025062561
11045,1482.264952659607
11001,1863.3250069618225
11033,1615.4900431632996
11006,1364.7350299358368
11002,1735.575041770935
11012,1812.955002784729
11013,1815.1450181007385
11007,1839.2350125312805
11019,1721.3400292396545
11035,1868.070011138916
11018,1817.7000069618225
11008,1816.239938735962
11041,1828.284935951233
11028,1790.3250765800476
11040,1640.3099846839905
11042,1781.929988861084
11039,1733.020052909851
11032,1700.5349707603455
11023,1796.8949484825134
11038,1801.639952659607
11046,1739.955072402954
11021,1787.4049401283264
11020,1815.509991645813
12021,1351.2299644947052
12060,1708.1999373435974
12063,1643.9600682258606
12082,1759.3000626564026
12024,1788.5000348091125
12058,1659.654974937439
12010,1597.604947090149
12011,1258.8849568367004
12012,1632.280044555664
12004,1607.094955444336
12068,1475.329933166504
12043,1509.6400570869446
12007,1628.9949345588684
12057,1208.8800132274628
12066,1686.6649317741394
12056,1645.784935951233
12001,1656.7350125312805
12075,1628.2649874687195
12055,1704.55002784729
12006,1692.8700041770935
12037,1726.085033416748
12085,1794.3399596214294
12027,1527.160005569458
12015,1737.4000835418701
12074,1603.810019493103
12014,1745.4300236701965
12018,1777.549958229065
12072,1578.624930381775
12009,1511.0999512672424
12081,1416.200041770935
12084,1606.0000348091125
12071,1588.4800863265991
12070,1784.1200041770935
12083,1548.3300375938416
12079,1595.7800793647766
12076,1591.765022277832
12065,1774.994969367981
12073,1422.7700006961823
12064,1681.189980506897
12019,1696.1549401283264
12005,1755.6499791145325
12030,1772.8049540519714
12069,1662.209963798523
12036,1746.1599707603455
12080,1797.9900431632996
12078,1427.1500313282013
12077,1764.775013923645
12023,1779.0100264549255
12048,1371.304988861084
12053,1667.6849150657654
12054,1392.839994430542
12047,1687.7600264549255
12049,1783.0250835418701
12050,1671.3349986076355
12051,1501.244969367981
12045,1749.445080757141
12046,1756.7450737953186
12040,1526.0650849342346
12013,1761.124930381775
12062,1480.0749373435974
12041,1405.6150257587433
12042,1674.254961013794
12044,1650.164966583252
12038,1460.3649735450745
12039,1676.809949874878
12002,1688.854947090149
12003,1374.2250382900238
12034,1772.8049540519714
12035,1757.4750208854675
12031,1679.364938735962
12032,1369.8450076580048
12033,1692.505030632019
12028,1463.284935951233
12029,1380.794997215271
12008,1741.0499930381775
12025,1745.794997215271
12026,1707.834963798523
12059,1768.059949874878
12061,1710.0249791145325
12052,1612.570080757141
12067,1704.55002784729
12016,1445.400013923645
12017,1722.7999234199524
12020,1624.9800515174866
12022,1409.265022277832
13031,1452.335033416748
13005,1738.859977722168
13075,1820.9849429130554
13028,1308.1600403785706
13045,1676.080002784729
13021,1804.5599150657654
13001,1675.35005569458
13002,1449.0500104427338
13049,1363.640022277832
13003,1566.945080757141
13030,1610.0149178504944
13023,1810.400013923645
