CVEGEO,rails
01001,1
01008,0
01011,1
01009,0
01007,1
01006,1
01004,1
01005,1
01010,0
01003,0
01002,1
02007,0
02003,1
02004,1
02001,0
02006,0
02005,0
02002,1
03001,0
03008,0
03003,0
03002,0
03009,0
04008,1
04005,1
04003,0
04012,0
04001,1
04010,1
04006,0
04011,1
04004,1
04013,1
04002,1
04009,1
04007,0
05010,1
05036,1
05018,1
05029,1
05007,1
05032,1
05006,1
05003,1
05012,0
05009,1
05005,0
05004,0
05016,1
05035,1
05014,1
05008,1
05019,1
05038,1
05037,1
05001,1
05017,1
05002,1
05026,1
05021,1
05013,0
05024,1
05020,1
05023,1
05022,1
05015,0
05011,1
05034,1
05033,1
05031,0
05030,1
05028,1
05027,1
05025,1
06009,1
06005,1
06010,0
06008,0
06002,1
06007,1
06006,0
06003,0
06001,1
06004,1
07106,0
07090,0
07022,0
07073,0
07042,0
07036,0
07121,0
07119,0
07124,0
07123,0
07067,0
07091,0
07114,0
07069,1
07081,0
07080,0
07065,1
07077,1
07086,0
07010,0
07011,0
07024,0
07028,0
07122,0
07001,1
07002,0
07003,1
07004,0
07005,0
07006,0
07007,0
07029,0
07012,0
07013,0
07014,0
07015,0
07016,1
07019,0
07020,0
07021,0
07033,0
07053,0
07025,0
07026,0
07027,0
07030,0
07031,0
07055,0
07023,0
07034,0
07075,0
07076,0
07038,0
07039,0
07040,1
07041,0
07043,0
07044,0
07045,0
07046,0
07048,1
07052,0
07056,0
07054,0
07072,0
07111,0
07110,0
07051,1
07050,1
07049,0
07096,0
07097,1
07099,0
07058,0
07060,0
07070,0
07063,0
07057,0
07101,0
07102,0
07103,1
07104,0
07079,0
07120,0
07107,0
07108,0
07109,0
07085,0
07088,0
07093,0
07098,0
07100,0
07105,0
07112,0
07087,1
07113,0
07115,0
07117,0
07118,0
07047,0
07092,0
07018,0
07059,0
07061,0
07064,0
07066,0
07071,1
07078,0
07032,1
07125,0
07035,0
07062,0
07037,1
07068,1
07074,0
07082,0
07083,0
07084,0
07089,1
07008,0
07009,1
07017,0
07116,0
07094,0
08037,1
08021,1
08019,1
08001,1
08006,0
08052,1
08020,0
08041,0
08055,1
08032,1
08017,1
08043,1
08016,1
08023,0
08059,1
08015,1
08049,0
08036,1
08060,1
08007,0
08008,0
08051,0
08067,0
08062,1
08061,0
08029,0
08003,1
08014,0
08018,0
08054,1
08058,0
08002,1
08065,1
08063,1
08022,0
08066,0
08004,1
08009,1
08010,0
08011,1
08012,0
08013,1
08053,0
08057,0
08044,1
08031,1
08056,0
08045,1
08046,0
08047,0
08025,0
08048,0
08024,1
08064,0
08050,1
08026,0
08027,0
08028,0
08030,1
08033,0
08034,1
08035,0
08038,0
08039,1
08040,1
08042,0
08005,1
09005,1
09007,1
09015,1
09017,1
09013,0
09003,0
09008,1
09009,0
09010,1
09014,0
09011,1
09006,0
09002,1
09012,1
09004,1
09016,1
10009,0
10017,1
10036,1
10021,1
10034,0
10024,0
10012,1
10039,1
10018,0
10011,0
10005,1
10010,0
10030,0
10029,0
10023,1
10033,1
10016,1
10003,0
10004,1
10006,0
10025,0
10008,1
10027,1
10001,1
10035,1
10014,0
10022,1
10038,1
10037,0
10019,0
10028,0
10026,0
10015,0
10031,0
10007,1
10020,1
10032,1
10013,1
10002,0
11044,1
11017,1
11037,1
11010,0
11031,1
11015,1
11034,0
11036,0
11030,1
11026,0
11009,1
11016,0
11024,0
11029,1
11011,1
11027,1
11025,1
11003,1
11004,0
11005,1
11043,0
11022,0
11014,1
11045,0
11001,1
11033,1
11006,0
11002,1
11012,0
11013,0
11007,1
11019,0
11035,0
11018,1
11008,0
11041,0
11028,1
11040,0
11042,1
11039,1
11032,1
11023,1
11038,1
11046,0
11021,0
11020,1
12021,0
12060,0
12063,0
12082,0
12024,0
12058,1
12010,0
12011,0
12012,0
12004,0
12068,0
12043,0
12007,0
12057,0
12066,0
12056,0
12001,0
12075,0
12055,1
12006,0
12037,0
12085,0
12027,0
12015,1
12074,0
12014,0
12018,0
12072,0
12009,0
12081,0
12084,0
12071,0
12070,0
12083,0
12079,0
12076,0
12065,0
12073,0
12064,0
12019,0
12005,0
12030,0
12069,0
12036,0
12080,0
12078,0
12077,0
12023,0
12048,0
12053,0
12054,0
12047,0
12049,0
12050,0
12051,0
12045,0
12046,0
12040,0
12013,0
12062,0
12041,0
12042,0
12044,0
12038,0
12039,0
12002,0
12003,0
12034,0
12035,1
12031,0
12032,0
12033,0
12028,0
12029,0
12008,0
12025,0
12026,0
12059,0
12061,0
12052,0
12067,0
12016,0
12017,1
12020,0
12022,0
13031,0
13005,1
13075,1
13028,0
13045,0
13021,1
13001,0
13002,1
13049,0
13003,0
13030,0
13023,0
13004,0
13027,0
13022,1
13020,0
13074,1
13070,0
13018,0
13029,1
13071,0
13076,1
13046,0
13065,1
13061,1
13047,0
13078,0
13063,1
13017,1
13083,1
13072,1
13067,1
13026,0
13062,0
13044,1
13016,1
13015,0
13014,0
13068,0
13084,0
13081,0
13043,0
13066,1
13013,1
13025,0
13048,1
13038,0
13052,1
13037,0
13036,0
13053,0
13012,0
13011,0
13010,1
13009,0
13008,1
13007,1
13006,0
13054,0
13055,0
13080,0
13079,0
13035,1
13073,0
13034,0
13019,0
13077,1
13051,1
13082,1
13064,1
13024,0
13041,0
13060,0
13059,1
13032,0
13058,0
13057,1
13050,0
13056,1
13042,0
13040,0
13069,1
13039,0
13033,0
14018,1
14097,1
14114,1
14113,0
14112,0
14111,0
14110,0
14109,1
14124,0
14065,0
14116,0
14117,0
14118,0
14119,1
14014,1
14015,0
14017,0
14043,0
14106,0
14107,0
14108,1
14115,0
14075,0
14077,0
14078,0
14074,0
14076,0
14069,0
14123,0
14122,0
14121,1
14120,1
14002,1
14003,1
14005,1
14055,1
14086,0
14098,1
14025,0
14027,0
14028,0
14101,0
14022,0
14039,1
14044,1
14051,0
14070,1
14125,0
14071,0
14068,0
14067,0
14066,1
14064,0
14063,1
14062,0
14061,0
14060,0
14059,0
14058,0
14057,0
14056,0
14054,0
14053,1
14052,0
14050,0
14031,0
14049,0
14048,0
14047,1
14046,0
14045,0
14042,0
14041,0
14040,1
14038,0
14037,0
14036,1
14035,1
14034,0
14033,0
14004,1
14019,0
14001,0
14006,1
14007,1
14008,0
14009,1
14072,0
14080,0
14081,0
14082,1
14083,1
14084,0
14085,0
14087,0
14088,0
14089,1
14094,1
14095,1
14096,0
14032,0
14030,1
14029,0
14026,0
14024,0
14023,1
14021,0
14020,0
14016,0
14011,0
14013,1
14010,0
14012,0
14073,0
14079,1
14093,0
14099,0
14100,0
14102,0
14103,1
14104,0
14105,0
14090,0
14091,0
14092,0
15116,0
15072,0
15003,0
15007,0
15094,1
15032,0
15081,1
15071,1
15070,1
15026,0
15061,1
15057,1
