CVEGEO,rainfall
01001,600
01008,700
01011,500
01009,500
01007,500
01006,500
01004,0
01005,600
01010,500
01003,600
01002,500
02007,0
02003,0
02004,0
02001,0
02006,0
02005,0
02002,0
03001,0
03008,400
03003,500
03002,200
03009,200
04008,1000
04005,0
04003,1500
04012,1100
04001,0
04010,1300
04006,1000
04011,1300
04004,1300
04013,0
04002,1100
04009,1300
04007,0
05010,0
05036,300
05018,400
05029,200
05007,400
05032,500
05006,400
05003,400
05012,400
05009,200
05005,400
05004,600
05016,400
05035,300
05014,400
05008,400
05019,400
05038,400
05037,400
05001,400
05017,200
05002,400
05026,400
05021,400
05013,500
05024,400
05020,600
05023,300
05022,500
05015,400
05011,200
05034,300
05033,200
05031,400
05030,400
05028,400
05027,400
05025,500
06009,1000
06005,1200
06010,1200
06008,1500
06002,800
06007,1000
06006,700
06003,1200
06001,1000
06004,800
07106,1200
07090,3500
07022,2000
07073,3500
07042,4000
07036,3000
07121,3500
07119,2000
07124,3000
07123,1200
07067,1500
07091,3500
07114,2000
07069,3500
07081,2000
07080,3500
07065,3500
07077,3500
07086,1200
07010,1200
07011,2500
07024,1500
07028,1200
07122,1200
07001,3500
07002,1200
07003,0
07004,2500
07005,3500
07006,1200
07007,0
07029,1000
07012,1500
07013,1500
07014,2000
07015,4500
07016,2500
07019,1200
07020,3500
07021,1500
07033,3500
07053,4000
07025,3500
07026,2000
07027,1200
07030,2500
07031,2000
07055,2500
07023,1500
07034,1200
07075,1200
07076,3000
07038,1500
07039,3500
07040,3500
07041,1200
07043,4500
07044,1200
07045,4000
07046,2000
07048,3500
07052,1200
07056,2000
07054,1500
07072,3500
07111,1200
07110,1200
07051,3500
07050,2500
07049,1500
07096,3500
07097,2500
07099,1200
07058,1200
07060,3500
07070,3500
07063,1200
07057,4000
07101,1000
07102,1500
07103,4000
07104,1000
07079,1500
07120,3500
07107,2500
07108,2500
07109,3000
07085,1200
07088,4000
07093,1500
07098,1200
07100,3500
07105,4500
07112,2000
07087,1500
07113,2000
07115,3000
07117,3500
07118,2000
07047,1500
07092,3000
07018,1500
07059,3000
07061,1500
07064,1500
07066,2000
07071,3500
07078,1200
07032,3500
07125,3500
07035,1500
07062,3500
07037,4000
07068,3500
07074,2500
07082,0
07083,1200
07084,4500
07089,1500
07008,3500
07009,2000
07017,1500
07116,3000
07094,1200
08037,0
08021,300
08019,400
08001,300
08006,500
08052,300
08020,800
08041,700
08055,400
08032,400
08017,500
08043,600
08016,300
08023,400
08059,500
08015,300
08049,600
08036,300
08060,500
08007,800
08008,800
08051,700
08067,400
08062,300
08061,400
08029,800
08003,400
08014,400
08018,500
08054,500
08058,0
08002,300
08065,800
08063,700
08022,500
08066,700
08004,300
08009,700
08010,400
08011,400
08012,700
08013,600
08053,0
08057,500
08044,500
08031,700
08056,600
08045,300
08046,800
08047,700
08025,600
08048,500
08024,0
08064,600
08050,400
08026,0
08027,700
08028,0
08030,800
08033,500
08034,600
08035,600
08038,300
08039,400
08040,700
08042,200
08005,0
09005,600
09007,600
09015,600
09017,600
09013,1000
09003,800
09008,1000
09009,1000
09010,1000
09014,800
09011,700
09006,600
09002,700
09012,1000
09004,1000
09016,800
10009,800
10017,600
10036,200
10021,500
10034,1000
10024,400
10012,300
10039,400
10018,500
10011,500
10005,1000
10010,500
10030,400
10029,400
10023,1200
10033,600
10016,500
10003,500
10004,600
10006,400
10025,600
10008,500
10027,300
10001,800
10035,1000
10014,600
10022,600
10038,600
10037,1000
10019,1000
10028,500
10026,1200
10015,400
10031,500
10007,200
10020,500
10032,1000
10013,300
10002,1200
11044,700
11017,800
11037,800
11010,0
11031,700
11015,800
11034,500
11036,0
11030,800
11026,700
11009,800
11016,0
11024,700
11029,600
11011,700
11027,800
11025,800
11003,800
11004,700
11005,700
11043,700
11022,600
11014,800
11045,800
11001,0
11033,600
11006,800
11002,800
11012,800
11013,500
11007,700
11019,800
11035,800
11018,700
11008,800
11041,800
11028,0
11040,600
11042,800
11039,0
11032,600
11023,800
11038,800
11046,800
11021,800
11020,800
12021,1500
12060,1000
12063,1500
12082,1200
12024,1000
12058,1000
12010,1500
12011,1500
12012,1500
12004,1500
12068,1000
12043,1500
12007,0
12057,1500
12066,1000
12056,1500
12001,1500
12075,1000
12055,1000
12006,1000
12037,1200
12085,0
12027,1000
12015,1000
12074,1000
12014,0
12018,1200
12072,1500
12009,1500
12081,2000
12084,2000
12071,2000
12070,800
12083,1500
12079,1200
12076,1500
12065,800
12073,1200
12064,1000
12019,800
12005,800
12030,1200
12069,1000
12036,1500
12080,0
12078,1500
12077,1200
12023,1200
12048,1500
12053,1500
12054,1500
