CVEGEO,water_availability
01001,0.0
01008,8.399309
01011,0.0
01009,0.0
01007,0.0
01006,0.0
01004,0.0
01005,0.0
01010,0.0
01003,0.0
01002,7.97713
02007,0.889374
02003,1.037084
02004,0.0
02001,0.0
02006,0.0
02005,0.471866
02002,1.520579
03001,2.13557
03008,0.0
03003,0.00842
03002,0.0
03009,0.0
04008,2059.634923
04005,2059.634923
04003,1762.97343
04012,2059.634923
04001,2059.634923
04010,306.460761
04006,306.460761
04011,385.530232
04004,2059.634923
04013,2059.634923
04002,2059.634923
04009,2059.634923
04007,1762.97343
05010,0.0
05036,0.0
05018,0.0
05029,0.0
05007,0.421886
05032,0.0
05006,0.0
05003,0.0
05012,0.0
05009,0.0
05005,0.0
05004,0.0
05016,0.0
05035,0.0
05014,0.0
05008,0.0
05019,0.0
05038,0.0
05037,0.0
05001,0.0
05017,0.0
05002,0.0
05026,0.0
05021,0.0
05013,0.0
05024,0.0
05020,0.0
05023,0.0
05022,0.0
05015,0.0
05011,0.0
05034,0.0
05033,0.0
05031,0.0
05030,0.762258
05028,0.0
05027,0.0
05025,0.0
06009,4.480262
06005,0.527467
06010,0.0
06008,0.0
06002,4.480262
06007,0.0
06006,4.480262
06003,0.527467
06001,0.0
06004,0.0
07106,58.831968
07090,190.085458
07022,577.409318
07073,190.085458
07042,577.409318
07036,697.527042
07121,190.085458
07119,577.409318
07124,190.085458
07123,58.831968
07067,190.085458
07091,577.409318
07114,6.823576
07069,303.352004
07081,577.409318
07080,303.352004
07065,388.45366
07077,577.409318
07086,58.831968
07010,697.527042
07011,697.527042
07024,30.605168
07028,190.085458
07122,58.831968
07001,303.352004
07002,143.591609
07003,303.352004
07004,388.45366
07005,577.409318
07006,697.527042
07007,143.591609
07029,190.085458
07012,295.2518
07013,190.085458
07014,577.409318
07015,38.479355
07016,161.080504
07019,143.591609
07020,303.352004
07021,190.085458
07033,180.335309
07053,38.479355
07025,577.409318
07026,577.409318
07027,58.831968
07030,697.527042
07031,388.45366
07055,38.479355
07023,30.605168
07034,697.527042
07075,143.591609
07076,577.409318
07038,30.605168
07039,577.409318
07040,38.479355
07041,52.993121
07043,577.409318
07044,190.085458
07045,577.409318
07046,227.611227
07048,577.409318
07052,52.993121
07056,577.409318
07054,38.479355
07072,190.085458
07111,30.605168
07110,190.085458
07051,303.352004
07050,161.080504
07049,190.085458
07096,577.409318
07097,227.611227
07099,697.527042
07058,143.591609
07060,190.085458
07070,303.352004
07063,190.085458
07057,38.479355
07101,190.085458
07102,38.479355
07103,38.479355
07104,697.527042
07079,190.085458
07120,303.352004
07107,227.611227
07108,227.611227
07109,577.409318
07085,190.085458
07088,180.335309
07093,30.605168
07098,143.591609
07100,577.409318
07105,38.479355
07112,577.409318
07087,38.479355
07113,577.409318
07115,388.45366
07117,697.527042
07118,577.409318
07047,190.085458
07092,190.085458
07018,190.085458
07059,6.823576
07061,58.831968
07064,30.605168
07066,577.409318
07071,38.479355
07078,30.605168
07032,303.352004
07125,303.352004
07035,38.479355
07062,180.335309
07037,38.479355
07068,577.409318
07074,180.335309
07082,577.409318
07083,697.527042
07084,577.409318
07089,38.479355
07008,697.527042
07009,227.611227
07017,227.611227
07116,6.823576
07094,143.591609
08037,0.0
08021,0.0
08019,0.0
08001,0.0
08006,0.0
08052,0.0
08020,60.906153
08041,60.906153
08055,0.0
08032,0.0
08017,0.0
08043,0.0
08016,0.0
08023,70.214055
08059,15.204465
08015,0.0
08049,50.503198
08036,0.0
08060,15.204465
08007,50.503198
08008,60.906153
08051,60.906153
08067,19.400403
08062,0.0
08061,19.400403
08029,0.0
08003,0.0
08014,21.494882
08018,56.690775
08054,0.0
08058,0.0
08002,0.0
08065,60.906153
08063,19.810746
08022,0.0
08066,60.906153
08004,0.0
08009,60.906153
08010,0.0
08011,0.0
08012,19.400403
08013,11.266036
08053,0.0
08057,19.400403
08044,21.494882
08031,60.906153
08056,50.503198
08045,0.0
08046,23.874806
08047,19.810746
08025,0.0
08048,0.0
08024,0.0
08064,50.503198
08050,0.0
08026,0.0
08027,50.503198
08028,0.0
08030,60.906153
08033,50.503198
08034,0.0
08035,0.0
08038,0.0
08039,2.403231
08040,0.0
08042,0.0
08005,0.0
09005,0.0
09007,0.0
09015,0.0
09017,0.0
09013,0.0
09003,0.0
09008,0.0
09009,0.0
09010,0.0
09014,0.0
09011,0.0
09006,0.0
09002,0.0
09012,19.238514
09004,0.0
09016,0.0
10009,30.134138
10017,26.144879
10036,0.0
10021,0.0
10034,0.0
10024,0.632674
10012,0.0
10039,30.134138
10018,22.8065
10011,26.144879
10005,0.0
10010,5.658765
10030,6.678254
10029,6.678254
10023,0.0
10033,3.883231
10016,0.0
10003,0.632674
10004,0.0
10006,7.018567
10025,26.144879
10008,0.0
10027,0.0
10001,0.0
10035,39.890599
10014,13.21242
10022,0.0
10038,0.0
10037,0.0
10019,39.890599
10028,0.0
10026,0.0
10015,0.0
10031,7.018567
10007,0.0
10020,0.0
10032,39.890599
10013,6.678254
10002,39.890599
11044,0.0
11017,0.0
11037,105.046121
11010,1.004238
11031,0.0
11015,0.0
11034,0.0
11036,0.0
11030,105.046121
11026,0.0
