Cruce_Fronterizo,Municipio,Estado_MX,Estado_US,Latitud,Longitud
Tijuana-San Ysidro,Tijuana,Baja California,California,32.542,-117.029
Mesa de Otay-Otay Mesa,Tijuana,Baja California,California,32.564,-116.969
Tecate,Tecate,Baja California,California,32.578,-116.634
Mexicali-Calexico West,Mexicali,Baja California,California,32.673,-115.388
Mexicali II-Calexico East,Mexicali,Baja California,California,32.637,-115.367
Nogales (Mariposa),Nogales,Sonora,Arizona,31.333,-110.943
Nogales (Deconcini),Nogales,Sonora,Arizona,31.333,-110.950
Agua Prieta-Douglas,Agua Prieta,Sonora,Arizona,31.336,-109.553
Puerto Palomas-Columbus,Ascensión,Chihuahua,Nuevo México,31.784,-107.621
Cd. Juárez-El Paso (Paso del Norte),Juárez,Chihuahua,Texas,31.758,-106.485
Cd. Juárez-El Paso (Córdova-Américas),Juárez,Chihuahua,Texas,31.755,-106.438
Cd. Juárez-El Paso (Zaragoza),Juárez,Chihuahua,Texas,31.684,-106.305
Ojinaga-Presidio,Ojinaga,Chihuahua,Texas,29.563,-104.416
Piedras Negras-Eagle Pass,Piedras Negras,Coahuila,Texas,28.705,-100.512
Cd. Acuña-Del Río,Acuña,Coahuila,Texas,29.431,-100.916
Nuevo Laredo I-Laredo,Nuevo Laredo,Tamaulipas,Texas,27.502,-99.504
Nuevo Laredo II-Laredo,Nuevo Laredo,Tamaulipas,Texas,27.564,-99.493
Nuevo Laredo III (Comercio Mundial),Nuevo Laredo,Tamaulipas,Texas,27.671,-99.479
Reynosa-Pharr,Reynosa,Tamaulipas,Texas,26.062,-98.243
Reynosa-Hidalgo,Reynosa,Tamaulipas,Texas,26.062,-98.264
Reynosa-McAllen,Reynosa,Tamaulipas,Texas,26.173,-98.242
Matamoros-Brownsville,Matamoros,Tamaulipas,Texas,25.885,-97.489
Matamoros-Los Indios,Matamoros,Tamaulipas,Texas,25.968,-97.771
Cd. Hidalgo-Tecún Umán (Puente Robles),Suchiate,Chiapas,San Marcos (GT),14.897,-92.146
Talismán-El Carmen,Tuxtla Chico,Chiapas,San Marcos (GT),15.093,-92.131
