CVEGEO,local_I,p_sim,quadrant,cluster
01001,1.6277840396669239,0.013,HH,HH
01002,0.7629338260985277,0.007,HH,HH
01003,0.1488239756073462,0.038,HH,HH
01004,0.20786640019591662,0.128,HH,ns
01005,1.6998892876209393,0.009,HH,HH
01006,1.2862927487653102,0.004,HH,HH
01007,0.5433283364710427,0.158,HH,ns
01008,0.09395256414492492,0.014,HH,HH
01009,0.602010080187921,0.021,HH,HH
01010,0.3608455109138652,0.017,HH,HH
01011,2.3569231295506534,0.003,HH,HH
02001,1.1187959809991104,0.025,LL,LL
02002,0.9215087105326224,0.01,LL,LL
02003,0.24669934686053135,0.151,LL,ns
02004,-0.22062620807598954,0.132,HL,ns
02005,0.09025641599456248,0.238,LL,ns
02006,2.7825760205956698,0.013,LL,LL
02007,2.6700172844648677,0.015,LL,LL
03001,1.63105038494459,0.049,LL,LL
03002,1.5354584631794976,0.006,LL,LL
03003,0.4630169661320587,0.164,LL,ns
03008,-0.15989452174834623,0.27,HL,ns
03009,1.8138679893358887,0.031,LL,LL
04001,0.3341223415439274,0.096,HH,ns
04002,0.5246781980140677,0.181,HH,ns
04003,0.5624957173799865,0.066,HH,ns
04004,0.24644491305395486,0.189,HH,ns
04005,0.21260481989811314,0.149,HH,ns
04006,-0.04105623970742783,0.23,LH,ns
04007,-0.1550794870818501,0.063,LH,ns
04008,0.4261056364069051,0.172,HH,ns
04009,0.08888145958370262,0.247,HH,ns
04010,0.01976836336085148,0.465,LL,ns
04011,0.04376613117762492,0.149,HH,ns
04012,0.27825677639437474,0.069,HH,ns
04013,0.10217285740622276,0.336,HH,ns
05001,0.5963576081492616,0.171,LL,ns
05002,-0.027956341739698378,0.315,HL,ns
05003,0.5592058936526438,0.055,HH,ns
05004,0.04506610415686641,0.345,HH,ns
05005,1.5353795776305923,0.012,LL,LL
05006,-0.09488371483081455,0.322,HL,ns
05007,0.04427518414837885,0.339,LL,ns
05008,3.036292220250368,0.002,LL,LL
05009,0.17312539904162508,0.096,HH,ns
05010,-0.2512557324969612,0.195,HL,ns
05011,-0.19799176009543187,0.103,LH,ns
05012,2.2704211825859555,0.009,LL,LL
05013,4.419900499577819,0.04,LL,LL
05014,0.0008074288924910355,0.218,HH,ns
05015,1.9301500485380754,0.002,LL,LL
05016,0.41576586037896035,0.096,LL,ns
05017,1.333764448269747,0.038,HH,HH
05018,-0.44242404264223384,0.17,HL,ns
05019,0.2972702077417879,0.063,HH,ns
05020,0.0541491790247075,0.205,LL,ns
05021,0.18726506802954918,0.152,LL,ns
05022,0.041535692659088366,0.456,HH,ns
05023,0.4372164833450576,0.05,LL,ns
05024,-0.021165464410948142,0.149,HL,ns
05025,0.37318031985795025,0.248,HH,ns
05026,2.402055595017296,0.075,LL,ns
05027,0.3516688766610961,0.097,HH,ns
05028,-1.0280685641387626,0.065,HL,ns
05029,0.014087235464180576,0.478,LL,ns
05030,-0.7827111337767602,0.033,HL,HL
05031,0.4281785484971491,0.002,LL,LL
05032,0.5991304338467086,0.133,HH,ns
05033,0.13725326167512208,0.241,HH,ns
05034,0.20871095146832305,0.262,LL,ns
05035,0.7455445231567539,0.073,HH,ns
05036,0.10083141605212492,0.206,LL,ns
05037,-0.007505268488236326,0.481,LH,ns
05038,0.010778636666145817,0.135,HH,ns
06001,0.19249006971362548,0.211,HH,ns
06002,-0.27166494509758726,0.218,HL,ns
06003,0.011502317187768755,0.357,LL,ns
06004,0.07328495271289551,0.16,HH,ns
06005,0.11599537766494665,0.35,HH,ns
06006,-0.1350712787976612,0.362,LH,ns
06007,-0.06791957615061772,0.421,HL,ns
06008,0.025058372380553768,0.452,LL,ns
06009,0.00855836425081935,0.48,HH,ns
06010,0.07194770246530861,0.277,HH,ns
07001,0.6323756823342311,0.134,HH,ns
07002,0.27771580699277626,0.08,HH,ns
07003,1.6844745010436293,0.001,HH,HH
07004,-0.011599717195789408,0.314,HL,ns
07005,0.05450659751964924,0.088,HH,ns
07006,-0.0384513125218774,0.171,HL,ns
07007,0.0739451418468611,0.059,HH,ns
07008,-0.2388201932373988,0.01,HL,HL
07009,1.1696658951895933,0.016,HH,HH
07010,0.07653069016486821,0.288,LL,ns
07011,0.017224455796902738,0.373,LL,ns
07012,1.217943459056602,0.022,HH,HH
07013,0.26289504101607136,0.115,HH,ns
07014,0.026128564622183135,0.242,HH,ns
07015,0.4506626160294999,0.054,HH,ns
07016,0.2221402721590518,0.018,HH,HH
07017,0.1447799065889394,0.115,HH,ns
07018,0.14399583108716862,0.227,HH,ns
07019,-0.0350067750297358,0.41,HL,ns
07020,-0.04428512883094633,0.138,LH,ns
07021,0.10303984419162257,0.2,HH,ns
07022,-0.06720512200606248,0.254,LH,ns
07023,0.2489041206946038,0.074,HH,ns
07024,-0.0639228363508596,0.266,LH,ns
07025,0.012302078986370013,0.43,HH,ns
07026,0.04738979357181759,0.34,HH,ns
07027,0.6088448373854762,0.002,HH,HH
07028,0.10592040971396417,0.249,HH,ns
07029,0.2526562897097589,0.086,HH,ns
07030,0.21958192623793937,0.061,LL,ns
07031,0.033162590223249945,0.36,HH,ns
07032,0.06414095137885686,0.454,HH,ns
07033,-0.5557527615762935,0.152,LH,ns
07034,0.03833793062080403,0.368,LL,ns
07035,0.6223499413744465,0.017,HH,HH
07036,-4.802031264719483e-06,0.482,LH,ns
07037,1.6022542026305002,0.003,HH,HH
07038,-0.17006364457125375,0.169,LH,ns
07039,0.04954592792956701,0.141,HH,ns
07040,1.8057050404129753,0.001,HH,HH
07041,-0.010044443359504758,0.48,LH,ns
07042,0.12374103103658445,0.186,HH,ns
07043,0.08917857280094323,0.275,HH,ns
07044,0.3078041141321819,0.055,HH,ns
07045,-0.025668413034493836,0.116,LH,ns
07046,0.38794531731717824,0.029,HH,HH
07047,0.1304820834090762,0.146,HH,ns
07048,1.3745532818399109,0.001,HH,HH
07049,0.03824170208983093,0.345,HH,ns
07050,0.20104883567638682,0.062,HH,ns
07051,0.1923456132221595,0.331,HH,ns
07052,0.05459477437498467,0.251,LL,ns
07053,-0.05835253636988886,0.472,LH,ns
07054,1.7213034293785519,0.004,HH,HH
07055,0.3878096044970981,0.117,HH,ns
07056,-0.0921516734871922,0.291,LH,ns
07057,0.2089352187374357,0.025,HH,HH
07058,0.12324336597329712,0.255,HH,ns
07059,0.10308981267701876,0.232,LL,ns
07060,0.00030400912330281755,0.414,LL,ns
07061,0.6722432000424233,0.005,HH,HH
07062,0.1608742027138948,0.268,HH,ns
07063,0.1660448865646129,0.014,HH,HH
07064,-0.00889111134059466,0.332,HL,ns
07065,0.4838804290628026,0.038,HH,HH
07066,0.03433309462920339,0.384,HH,ns
07067,0.16057957701080336,0.072,HH,ns
07068,0.2990853988236579,0.136,HH,ns
07069,0.47423595190314816,0.069,HH,ns
07070,-0.03442178504440942,0.307,HL,ns
07071,2.1690304189829295,0.007,HH,HH
07072,0.10675649146260523,0.314,HH,ns
07073,0.3276476240543035,0.178,HH,ns
07074,1.9106821159369987,0.002,HH,HH
07075,0.10887944829343509,0.224,HH,ns
07076,0.03185815967680844,0.137,HH,ns
07077,0.30402499175951164,0.071,HH,ns
07078,0.375990296702443,0.217,HH,ns
07079,0.8139079136388572,0.023,HH,HH
07080,-0.11060341490309246,0.118,HL,ns
07081,0.08937869813020181,0.279,HH,ns
07082,-0.08567234712198818,0.342,LH,ns
07083,-0.0012992853054979885,0.408,LH,ns
07084,0.017404737460048454,0.353,HH,ns
07085,0.32418932205127987,0.119,HH,ns
07086,0.9626313747480095,0.006,HH,HH
07087,1.3134401591116829,0.039,HH,HH
07088,-0.0557037777649952,0.135,LH,ns
07089,1.432487964117231,0.008,HH,HH
07090,0.0029333334245754813,0.303,HH,ns
07091,0.38147189488490235,0.227,HH,ns
07092,0.12123255563983268,0.183,HH,ns
07093,0.01156670431740674,0.257,HH,ns
07094,0.34007499003920194,0.158,HH,ns
07096,0.198235960341959,0.038,HH,HH
07097,1.4362042050337644,0.019,HH,HH
07098,0.1351448866815472,0.033,HH,HH
07099,0.008034305913334488,0.455,LL,ns
07100,-0.045842977004139265,0.232,LH,ns
07101,1.6700191500351764,0.022,HH,HH
07102,0.8539093929539828,0.049,HH,HH
07103,0.9508360273233953,0.007,HH,HH
07104,0.016438194277897313,0.418,HH,ns
07105,0.03279620177582059,0.295,HH,ns
07106,0.25685592826036535,0.12,HH,ns
07107,0.21606595777437962,0.021,HH,HH
07108,1.1090178094925718,0.009,HH,HH
07109,0.07718156097004965,0.294,HH,ns
07110,0.22083028574935631,0.054,HH,ns
07111,0.6254232459461647,0.039,HH,HH
07112,0.0012722671686563136,0.499,HH,ns
07113,-0.023927823035213756,0.453,HL,ns
07114,0.8408120979933862,0.113,LL,ns
07115,0.3155197261642543,0.312,LL,ns
07116,0.9041945564099956,0.169,LL,ns
07117,-0.37738038870686835,0.146,LH,ns
07118,-0.006396328721404593,0.203,LH,ns
07119,-0.5285909674975363,0.291,LH,ns
07120,0.10945195624397529,0.423,LL,ns
07121,-0.06230275560083131,0.075,LH,ns
07122,0.48264329408942624,0.05,HH,ns
07123,0.19578678361042495,0.11,HH,ns
07124,0.23180560531605407,0.084,HH,ns
07125,0.168363560720101,0.448,LL,ns
08001,0.016847708516068642,0.387,LL,ns
08002,-0.04950352999037437,0.362,HL,ns
08003,-0.0388645319228678,0.381,HL,ns
08004,0.6144385849536483,0.092,HH,ns
08005,0.05168341687195462,0.281,LL,ns
08006,-0.26761343978451396,0.322,LH,ns
08007,0.781003817239448,0.009,LL,LL
08008,1.5040238464008842,0.048,LL,LL
08009,0.0179078691542882,0.006,LL,LL
08010,0.32715798380273403,0.15,LL,ns
08011,-0.20167053707496807,0.051,HL,ns
08012,1.3316443675269662,0.003,LL,LL
08013,1.1047933104700378,0.001,LL,LL
08014,-0.0005744088522673511,0.489,LH,ns
08015,0.6332298647189093,0.222,LL,ns
08016,0.06648996699706371,0.441,LL,ns
08017,-0.7744844577580865,0.009,HL,HL
08018,3.3297599913599982,0.028,LL,LL
08019,-0.16182582219511019,0.359,HL,ns
08020,1.3268394733309015,0.097,LL,ns
08021,1.9953621932552725,0.043,HH,HH
08022,2.8417571255521574,0.001,LL,LL
08023,1.5201406261967603,0.068,LL,ns
08024,-0.018876701603060084,0.185,HL,ns
08025,0.6516927027291445,0.063,LL,ns
08026,1.6087297417927604,0.019,LL,LL
08027,0.34504877634310066,0.003,LL,LL
08028,0.36513743762029266,0.274,LL,ns
08029,0.7952779016830882,0.02,LL,LL
08030,1.444269730543656,0.001,LL,LL
08031,-0.30044130119833945,0.009,HL,HL
08032,-0.28989956647716203,0.202,HL,ns
08033,1.0948047442570237,0.074,LL,ns
08034,1.1666886496839581,0.017,LL,LL
08035,1.2435386730833293,0.025,LL,LL
08036,-0.14297294798880344,0.258,HL,ns
08037,-0.956454950965677,0.148,HL,ns
08038,-0.7804609551084224,0.068,LH,ns
08039,0.02285852864299655,0.436,HH,ns
08040,0.4281668045548938,0.009,LL,LL
08041,3.0105582166662392,0.059,LL,ns
08042,0.8977405366769421,0.197,LL,ns
08043,0.09704227339837243,0.258,LL,ns
08044,0.0054211749254670675,0.481,HH,ns
08045,0.7560867931099962,0.104,HH,ns
08046,1.377324382359685,0.078,LL,ns
08047,0.9990005015751778,0.057,LL,ns
08048,0.09987530836978535,0.236,LL,ns
08049,1.6352732295536854,0.003,LL,LL
08050,0.09289693184496128,0.009,LL,LL
08051,0.2553699374716444,0.002,LL,LL
08052,0.35022640083029505,0.012,LL,LL
08053,0.9694382126028426,0.092,LL,ns
08054,0.014878741802300362,0.467,HH,ns
08055,0.21380735395562375,0.039,HH,HH
08056,2.1699796424544497,0.002,LL,LL
08057,2.7251584000276843,0.001,LL,LL
08058,-0.32579122293392687,0.363,LH,ns
08059,0.22886109967578072,0.076,LL,ns
08060,-0.019925398872634472,0.396,LH,ns
08061,0.531644886344382,0.141,LL,ns
08062,-0.30299414324686047,0.249,HL,ns
08063,0.4422809130600022,0.099,LL,ns
08064,1.8675661089758013,0.014,LL,LL
08065,1.1106998883479675,0.002,LL,LL
08066,2.14482840053919,0.001,LL,LL
08067,0.18140935892079643,0.07,LL,ns
09002,4.6555508055323855,0.001,HH,HH
09003,3.3223676702762552,0.001,HH,HH
09004,3.6429978998346386,0.001,HH,HH
09005,4.302690358765751,0.001,HH,HH
09006,0.9251843531360547,0.001,HH,HH
09007,3.769593628108273,0.001,HH,HH
09008,2.740913524312043,0.002,HH,HH
09009,0.8367351356309141,0.001,HH,HH
09010,3.7815212212285747,0.001,HH,HH
09011,3.209272077843254,0.001,HH,HH
09012,2.5662162643542,0.001,HH,HH
09013,2.6376032807326952,0.001,HH,HH
09014,3.306942999559049,0.001,HH,HH
09015,3.441038386716114,0.001,HH,HH
09016,5.504633754892562,0.001,HH,HH
09017,2.1812059903679835,0.002,HH,HH
10001,-0.07897884477596918,0.249,HL,ns
10002,0.6273617747285213,0.181,LL,ns
10003,0.03797107952347931,0.476,LL,ns
10004,0.003169104972446331,0.41,HH,ns
10005,-0.023150465822715464,0.46,HL,ns
10006,-0.06147681381226002,0.453,LH,ns
10007,1.3429545823451223,0.02,HH,HH
10008,0.16796466527749837,0.255,HH,ns
10009,0.38051861633398343,0.078,LL,ns
10010,1.0521012034167463,0.036,LL,LL
10011,1.969882399456092,0.02,LL,LL
10012,0.39783241642168843,0.147,HH,ns
10013,-0.003840710953557977,0.447,HL,ns
10014,0.11446870767491206,0.355,LL,ns
10015,0.21949889746405576,0.109,LL,ns
10016,0.23410549577114179,0.212,HH,ns
10017,0.1305991869027836,0.011,LL,LL
10018,0.2337997000699268,0.016,LL,LL
10019,1.4140851971298452,0.123,LL,ns
10020,0.050936122953599866,0.322,HH,ns
10021,0.002553471545584926,0.476,LL,ns
10022,0.42198142083353174,0.035,HH,HH
10023,0.10157677563036055,0.161,LL,ns
10024,0.8763618399483558,0.002,LL,LL
10025,0.4636302113702526,0.263,LL,ns
10026,0.3005656652781587,0.255,LL,ns
10027,0.4689769901749902,0.09,LL,ns
10028,0.1890816385093357,0.125,LL,ns
10029,1.3933996693847022,0.037,LL,LL
10030,2.0809379439335434,0.012,LL,LL
10031,0.2095953979801756,0.238,LL,ns
10032,-0.28106731210297553,0.013,HL,HL
10033,-0.01514259610023897,0.291,LH,ns
10034,0.7965763888689023,0.008,LL,LL
10035,-0.06446621774717821,0.032,HL,HL
10036,0.10431052392949838,0.205,HH,ns
10037,0.9304055320672503,0.087,LL,ns
10038,0.6464067997514784,0.144,HH,ns
10039,-0.24412290596797695,0.246,HL,ns
11001,0.6042921363756066,0.015,HH,HH
11002,0.6208962793493726,0.036,HH,HH
11003,1.860826198388517,0.001,HH,HH
11004,0.5459703811770245,0.015,HH,HH
11005,2.0251310048364948,0.001,HH,HH
11006,1.5741404639360899,0.058,LL,ns
11007,2.572100815524099,0.001,HH,HH
11008,0.4538591800503847,0.004,HH,HH
11009,2.4286108736194367,0.002,HH,HH
11010,-0.007246498256682383,0.49,LH,ns
11011,2.0791938361191877,0.001,HH,HH
11012,0.612922682560682,0.045,HH,HH
11013,-0.0059308822238599915,0.479,HL,ns
11014,2.0082073235934734,0.002,HH,HH
11015,2.4604741632042826,0.001,HH,HH
