CVEGEO,local_I,p_sim,quadrant,cluster
01001,-0.3150313721469915,0.084,LH,ns
01002,0.18764197251544634,0.162,HH,ns
01003,-0.014353643205923897,0.474,LH,ns
01004,0.06358921792432214,0.228,HH,ns
01005,0.08222438071579272,0.394,HH,ns
01006,0.4143617054120586,0.053,HH,ns
01007,0.21462754678409696,0.285,HH,ns
01008,-0.01672885454757511,0.118,LH,ns
01009,0.2821894318077628,0.092,HH,ns
01010,0.014391740407349125,0.436,HH,ns
01011,0.26750264338742885,0.295,HH,ns
02001,5.403770954841843,0.001,LL,LL
02002,5.484807931582462,0.002,LL,LL
02003,3.225438847490478,0.001,LL,LL
02004,3.982914522345817,0.018,LL,LL
02005,2.5041770031078507,0.01,LL,LL
02006,5.639515317546371,0.006,LL,LL
02007,6.543592746794109,0.001,LL,LL
03001,3.7114995321978523,0.017,LL,LL
03002,3.023865869818759,0.005,LL,LL
03003,3.342680595441495,0.015,LL,LL
03008,2.41360848706608,0.018,LL,LL
03009,3.1622120565736136,0.014,LL,LL
04001,0.5670734018816369,0.015,HH,HH
04002,0.3079147884932178,0.193,HH,ns
04003,0.39214908970910795,0.037,HH,HH
04004,0.09615593122538633,0.234,HH,ns
04005,0.3040849159522996,0.085,HH,ns
04006,-0.01838217835867019,0.412,LH,ns
04007,0.27991217971080734,0.061,HH,ns
04008,0.4275162308697447,0.256,HH,ns
04009,0.13488206624326407,0.353,HH,ns
04010,0.11929677056134011,0.216,LL,ns
04011,0.15178784862866487,0.119,HH,ns
04012,0.15119270386758296,0.199,HH,ns
04013,0.2343629850204157,0.229,HH,ns
05001,1.1555984960729542,0.048,LL,LL
05002,0.3984797555456636,0.168,LL,ns
05003,0.300571258901357,0.084,HH,ns
05004,0.09824179153650132,0.159,LL,ns
05005,2.045956045014469,0.009,LL,LL
05006,-0.12251167392661381,0.082,HL,ns
05007,0.18590266229254562,0.137,LL,ns
05008,3.871457422441052,0.001,LL,LL
05009,0.006304156692358499,0.357,HH,ns
05010,-0.10342398806940059,0.075,HL,ns
05011,0.09226651333910578,0.311,LL,ns
